tweet_rate,total_amount,tweet_amount,top_conv
woodo79,14,high,High tweet rate
woodo79,14,high,High tweet rate
woodo79,14,high,High tweet rate
woodo79,14,high,High tweet rate
woodo79,14,high,High tweet rate
woodo79,14,high,High tweet rate
woodo79,14,high,High tweet rate
woodo79,14,high,High tweet rate
woodo79,14,high,High tweet rate
racybaldhero,9,high,High tweet rate
racybaldhero,9,high,High tweet rate
racybaldhero,9,high,High tweet rate
racybaldhero,9,high,High tweet rate
racybaldhero,9,high,High tweet rate
racybaldhero,9,high,High tweet rate
racybaldhero,9,high,High tweet rate
racybaldhero,9,high,High tweet rate
racybaldhero,9,high,High tweet rate
racybaldhero,9,high,High tweet rate
racybaldhero,9,high,High tweet rate
MsJenko,9,high,High tweet rate
MsJenko,9,high,High tweet rate
MsJenko,9,high,High tweet rate
MsJenko,9,high,High tweet rate
MsJenko,9,high,High tweet rate
MsJenko,9,high,High tweet rate
MsJenko,9,high,High tweet rate
MsJenko,9,high,High tweet rate
mcelderrytruth,8,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
dustsister,7,high,High tweet rate
CellarDoor790,6,high,High tweet rate
CellarDoor790,6,high,High tweet rate
CellarDoor790,6,high,High tweet rate
CellarDoor790,6,high,High tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
stfumisogynists,4,medium,Medium tweet rate
Jaaaitken,4,medium,Medium tweet rate
Kirstyink,4,medium,Medium tweet rate
Kirstyink,4,medium,Medium tweet rate
Hellefkay,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
andreaand76,4,medium,Medium tweet rate
Judoon_Platoon,4,medium,Medium tweet rate
Judoon_Platoon,4,medium,Medium tweet rate
Judoon_Platoon,4,medium,Medium tweet rate
Iam04,4,medium,Medium tweet rate
KateBussmann,3,medium,Medium tweet rate
KateBussmann,3,medium,Medium tweet rate
KateBussmann,3,medium,Medium tweet rate
KateBussmann,3,medium,Medium tweet rate
ProfLizKelly,3,medium,Medium tweet rate
ProfLizKelly,3,medium,Medium tweet rate
ProfLizKelly,3,medium,Medium tweet rate
ProfLizKelly,3,medium,Medium tweet rate
sarrrrahhhh,3,medium,Medium tweet rate
sarrrrahhhh,3,medium,Medium tweet rate
sarrrrahhhh,3,medium,Medium tweet rate
sarrrrahhhh,3,medium,Medium tweet rate
sarrrrahhhh,3,medium,Medium tweet rate
sarrrrahhhh,3,medium,Medium tweet rate
sarrrrahhhh,3,medium,Medium tweet rate
sarrrrahhhh,3,medium,Medium tweet rate
sarrrrahhhh,3,medium,Medium tweet rate
adam3oxley,3,medium,Medium tweet rate
adam3oxley,3,medium,Medium tweet rate
adam3oxley,3,medium,Medium tweet rate
KellyisaBlade,3,medium,Medium tweet rate
KellyisaBlade,3,medium,Medium tweet rate
